n,trial,seed,k,m,oracle_time_sec,integrated_time_sec,speedup_vs_oracle,objective_error,relative_gap,converged,simplex_residual,exposure_violation,outer_iterations,inner_iterations,breakpoint_events
500,1,520260705,25,8,2.470404800027609,1.760923400055617,1.4029030450441986,8.806887441537015e-10,8.806887441537015e-10,True,1.1102230246251565e-16,0.0,3,188,33414
500,2,520260706,25,8,2.862587600015104,1.6436787999700755,1.7415735970234694,1.791909398640712e-10,1.791909398640712e-10,True,1.1102230246251565e-16,0.0,3,216,25995
500,3,520260707,25,8,2.734427100047469,2.4359589000232518,1.1225259588827088,2.33565949914194e-09,2.33565949914194e-09,True,8.881784197001252e-16,0.0,3,270,42599
500,4,520260708,25,8,2.6630345000885427,2.406167200068012,1.106753720195866,2.383052088994475e-10,2.383052088994475e-10,True,1.1102230246251565e-16,0.0,3,248,48955
500,5,520260709,25,8,2.588884999975562,2.431986500043422,1.064514543945593,6.904730676104975e-10,6.904730676104975e-10,True,2.220446049250313e-16,0.0,3,211,48551
500,6,520260710,25,8,2.774329900043085,2.3068030001595616,1.202673093389936,1.1373113700807735e-09,1.1373113700807735e-09,True,1.1102230246251565e-16,0.0,3,221,41410
500,7,520260711,25,8,2.6847995999269187,2.4420048999600112,1.099424329562518,1.3659483821815144e-09,1.3659483821815144e-09,True,0.0,0.0,3,241,45680
500,8,520260712,25,8,2.692623500013724,1.7808974999934435,1.511947487165116,2.3138634758224086e-10,2.3138634758224086e-10,True,2.220446049250313e-16,0.0,3,198,35433
500,9,520260713,25,8,2.4521581002045423,1.726659000152722,1.4201750895733611,2.2101745988933885e-09,2.2101745988933885e-09,True,0.0,0.0,3,178,33191
700,0,720260704,35,8,3.9579948999453336,2.991304999915883,1.3231666112471427,4.885550644595504e-10,4.885550644595504e-10,True,0.0,0.0,3,219,54982
700,1,720260705,35,8,4.0863450998440385,3.1068001999519765,1.3152906002475484,2.266907578318822e-09,2.266907578318822e-09,True,2.220446049250313e-16,0.0,3,252,53047
700,2,720260706,35,8,4.896603100001812,3.4906045000534505,1.4027951605307425,1.4036496964742184e-09,1.4036496964742184e-09,True,0.0,0.0,3,215,62962
700,3,720260707,35,8,4.258198000025004,3.980130200041458,1.0698639959016039,2.7861173090837354e-10,2.7861173090837354e-10,True,2.220446049250313e-16,0.0,3,249,70259
700,4,720260708,35,8,4.287623499985784,3.2692990000359714,1.311480993307314,5.630064747741415e-10,5.630064747741415e-10,True,1.1102230246251565e-16,0.0,3,246,56133
700,5,720260709,35,8,4.026658099843189,4.055616999976337,0.9928595574647909,1.4290840733011123e-10,1.4290840733011123e-10,True,0.0,0.0,3,269,74064
